Town,Pubs,Population,People_per_pub
Follifoot,2,661,331.0
Tadcaster,14,6350,454.0
"Appleton Roebuck",2,929,465.0
Netherton,4,2337,584.0
Saxton,1,611,611.0
Brotherton,1,731,731.0
Stillington,1,828,828.0
Spofforth,1,1177,1177.0
Leeming,1,1225,1225.0
Tockwith,1,2003,2003.0
Grimethorpe,2,5277,2639.0
Goldthorpe,3,7993,2664.0
Brierley,1,2816,2816.0
Catterick,1,2840,2840.0
Micklefield,1,2851,2851.0
"Sherburn in Elmet",3,9248,3083.0
Stainforth,2,6231,3116.0
"Boston Spa",2,6287,3144.0
Oughtibridge,1,3186,3186.0
Upton,2,6500,3250.0
Bishopthorpe,1,3260,3260.0
Rawdon,2,6905,3453.0
Boroughbridge,1,3594,3594.0
Knaresborough,4,16655,4164.0
Bramhope,1,4183,4183.0
Whitby,3,12671,4224.0
Worsbrough,2,9016,4508.0
"South Kirkby",2,9280,4640.0
Holmfirth,1,5003,5003.0
Knottingley,2,10036,5018.0
Conisbrough,2,11295,5648.0
Strensall,1,6057,6057.0
Menston,1,6122,6122.0
"Ackworth Moor Top",1,6518,6518.0
Darfield,1,7234,7234.0
Stocksbridge,1,7272,7272.0
York,19,148331,7807.0
Elland,2,15910,7955.0
Richmond,1,7966,7966.0
Maltby,2,16667,8334.0
Haxby,1,10175,10175.0
Kippax,1,10404,10404.0
Wakefield,10,104088,10409.0
Dinnington,1,11500,11500.0
"South Elmsall",1,11557,11557.0
Wetherby,1,11594,11594.0
Featherstone,1,12254,12254.0
Bentley,1,12556,12556.0
Leeds,43,564705,13133.0
Heckmondwike,1,13617,13617.0
Otley,1,14477,14477.0
Hoyland,1,15529,15529.0
Mexborough,1,16207,16207.0
Barnsley,4,73872,18468.0
Doncaster,5,92949,18590.0
Rotherham,4,75115,18779.0
Scarborough,3,60892,20297.0
Goole,1,20937,20937.0
Ossett,1,21804,21804.0
Batley,2,45814,22907.0
Castleford,2,47678,23839.0
Dewsbury,2,65783,32892.0
Beverley,1,32955,32955.0
Morley,1,33620,33620.0
Pontefract,1,34171,34171.0
Pudsey,1,35071,35071.0
Bridlington,1,35439,35439.0
Bradford,6,347767,57961.0
Harrogate,1,77313,77313.0
Sheffield,6,526005,87668.0
Huddersfield,1,149473,149473.0
